SecFrom20170901	location	place	none
845999	2	6	86
845998	0	4	70
845997	0	4	75
845996	1	3	90
845995	1	8	92
845994	0	0	86
845993	0	5	70
845992	0	3	76
845991	0	4	77
845990	0	6	71
845989	0	2	86
845988	0	3	90
845987	0	7	68
845986	2	5	79
845985	1	5	95
845984	1	4	75
845983	0	4	90
845982	0	5	89
845981	0	9	77
845980	0	6	76
845979	2	4	77
845978	1	3	69
845977	2	6	85
845976	0	4	76
845975	0	4	75
845974	2	5	74
845973	1	7	83
845972	0	2	80
845971	0	8	72
845970	0	8	87
845969	0	4	76
845730	0	7	87
845729	2	5	85
845728	2	10	83
845727	0	4	83
845726	3	7	77
845725	0	4	79
845724	0	4	80
845723	0	4	84
845722	0	5	80
845721	1	6	93
845720	1	8	158
845719	0	6	86
845718	0	8	107
845717	1	8	114
845716	1	6	68
845715	0	10	67
845714	0	6	83
845713	0	5	80
845712	1	3	72
845711	0	8	87
845710	0	2	80
845709	1	3	75
845708	2	8	72
845707	0	4	90
845706	0	7	73
845705	1	4	97
845704	0	2	99
845703	0	8	77
845702	0	4	85
845701	0	5	85
845700	2	4	73
845699	0	7	90
845698	2	6	92
845697	0	5	79
845696	1	4	74
845695	1	4	142
845694	0	4	82
845693	0	10	83
845692	0	3	62
845691	2	4	78
845690	2	9	70
845689	0	10	78
845688	0	2	76
845687	0	5	91
845686	1	5	83
845685	0	8	74
845684	0	5	82
845683	0	4	76
845682	0	4	80
845681	0	6	73
845680	0	2	77
845679	0	7	76
845678	0	3	79
845677	0	2	88
845676	0	7	76
845675	0	1	75
845674	0	7	90
845673	1	7	73
845672	1	3	75
845671	0	3	79
845670	0	4	67
845669	2	4	78
845668	1	9	84
845667	1	7	75
845666	1	5	90
845665	0	4	72
845664	1	3	76
845663	1	10	82
845662	0	4	95
845661	0	2	76
845660	1	6	64
845659	1	2	173
845658	0	9	98
845657	1	3	100
845656	0	3	63
845655	1	11	118
845654	1	2	201
845653	0	5	70
845652	0	5	78
845651	0	4	67
845650	1	2	87
845649	0	2	78
845648	0	3	137
845647	1	4	85
845646	0	3	76
845645	0	6	88
845644	0	5	86
845643	0	0	92
845642	0	10	90
845641	1	7	70
845640	0	5	88
845639	1	6	84
845638	0	3	75
845637	0	6	72
845636	0	3	77
845635	0	3	77
845634	1	6	92
845633	0	4	72
845632	0	5	76
845631	0	4	79
845630	0	12	85
845629	0	8	75
845628	1	4	75
845627	3	3	77
845626	0	4	64
845625	0	5	81
845624	0	5	77
845623	0	7	77
845622	0	6	67
845621	0	4	83
845620	1	6	91
845619	0	4	66
845618	1	4	69
845617	0	3	84
845616	0	5	84
845615	0	2	80
845614	0	2	62
845613	0	5	73
845612	0	3	98
845611	1	9	85
845610	0	3	91
845609	0	3	84
845608	2	2	76
845607	1	5	85
845606	0	5	70
845605	0	6	94
845604	2	7	74
845603	0	6	63
845602	0	5	73
845601	0	6	76
845600	0	5	84
845599	0	6	87
845598	1	5	81
845597	1	10	82
845596	0	7	83
845595	0	3	78
845594	0	2	93
845593	0	2	134
845592	1	4	81
845591	1	6	72
845590	0	4	80
845589	0	6	60
