PlaceID	PlaceName	PlaceType	PlaceCount
3b98b02fba3f9753	North Carolina	admin	17630
2bca99f2a5ba7da1	Marrero	city	451
cc480e2388809012	Deer Park	city	396
1c69a67ad480e1b1	Houston	city	49074
189ef793a6dbbfc8	Irmo	city	411
7f7d58e5229c6b6c	Tennessee	admin	7791
4ec01c9dbc693497	Florida	admin	45001
0003df7b402165e0	Wesley Chapel	city	766
55b4f9e5c516e0b6	Orlando	city	6476
6d788d8a748a314a	Salisbury	city	419
343ecdd7da8dfae0	Spring	city	649
7c903eeaa49580c1	Brices Creek	city	12
7142eb97ae21e839	Georgia	admin	45620
5280739904d0ef48	The Woodlands	city	887
7f061ded71fdc974	Montgomery	city	3098
5727d936119423c0	Pembroke Pines	city	1597
3b84519ede034bf2	Bushnell	city	7
d5c4f757d5df5fa0	Fairview Shores	city	114
6241025d720c4971	Coral Springs	city	1225
ee2930da9f67751a	Riviera Beach	city	139
276336654aa4f87a	Lafayette	city	2578
1c73ebb264e145ee	Louisiana	admin	6587
053ab8e6678199ed	Doral	city	1084
b631437cf2f16804	Bahamas	country	1930
e7aa53e3e1531b99	Gastonia	city	496
288de3df481163e8	Alabama	admin	8817
6565298bcadb82a1	Knoxville	city	4126
00b673715a35dfa7	Columbus	city	2033
00ab941b685334e3	Nashville	city	11126
c7ef5f3368b68777	Baton Rouge	city	5680
01e74c422dab6107	Cinco Ranch	city	782
a846e2ce51e1233f	Griffin	city	121
bced47a0c99c71d0	Durham	city	3703
2b267a4b954c288d	Panama City	city	617
43d2418301bf1a49	Mississippi	admin	6433
f5b2e1c998aab0b5	Jensen Beach	city	87
6098c1080dfc7af3	Winter Haven	city	383
76c1bb41d3de7ff1	Huntsville	city	2632
512a8a4a4c4b4be0	Charlotte	city	10969
07d9ec81c5087002	Bayside Marketplace	poi	5
85d3434ace478e35	Huntsville	city	1898
bdd24fa1c8fe4b6a	Prairie View	city	2450
90c543b181a7c56e	Statesboro	city	986
dd3b100831dd1763	New Orleans	city	11292
23ebe811ea93fd41	Chapel Hill	city	978
38d0e797745f4c5d	Atascocita	city	903
018617530de2ac1c	Bossier City	city	418
1fa26465e8e760c4	Raceland	city	108
161d2f18e3a0445a	Raleigh	city	6230
00191b5c37b0bb68	Sunshine Parkway	city	166
f995a9bd45d4a867	Memphis	city	6692
8173485c72e78ca5	Atlanta	city	16749
2f1e462ac0a4692a	Hapeville	city	114
9c628d39e924afc1	Hammond	city	1190
c3a90b8ce84f216e	Carrboro	city	257
eb5c40f3d165a855	Mooresville	city	411
e55e8f90b3127585	Sanford	city	638
b309214e797fc3b4	Sunny Isles Beach	city	61
24a53a1880093fa9	Winston-Salem	city	2235
bcb210d6cf34438a	Pearland	city	1551
8c57f33bfa8a21f5	Erwin	city	33
014ab1a57a92c51a	Jesup	city	68
dd1231585f98adbd	Opelousas	city	145
ecbe2aea853af44e	Tallahassee	city	7420
8eb7d0abedc4817b	Greenville	city	969
00e9226863a6e5a4	Savannah	city	703
00c6c3cd3e783197	Augusta	city	1671
4548df3d99bb4891	Fayetteville	city	1953
013e811145e07117	Stockbridge	city	608
00981cdd189cd103	Kingsport	city	273
